ID,date,value,CO2,temp,outT,TSV,adapt_comf
257,2024-02-22 19:00:00,2.7,425.0,20.2,1.57,0.4,0
258,2024-02-22 20:00:00,2.7,426.0,20.3,2.39,0.4,0
259,2024-02-22 21:00:00,2.7,426.0,20.3,2.22,0.4,0
260,2024-02-22 22:00:00,2.7,429.0,20.5,1.94,0.6,0
261,2024-02-22 23:00:00,2.35,430.0,20.5,1.66,0.6,0
262,2024-02-23 00:00:00,3.06,423.0,20.4,1.31,0.4,0
263,2024-02-23 01:00:00,2.7025000000000006,419.0,20.4,1.53,0.4,0
264,2024-02-23 02:00:00,0.92,421.0,20.3,2.18,0.4,0
265,2024-02-23 09:00:00,0.3,400.0,21.2,2.75,0.4,0
266,2024-02-23 10:00:00,0.3,408.0,20.7,4.41,-0.2,0
267,2024-02-23 11:00:00,0.3,407.0,20.4,5.69,-1.2,0
268,2024-02-23 12:00:00,0.3,406.0,20.3,6.38,-0.8,0
269,2024-02-23 13:00:00,0.3,405.0,20.1,6.99,-0.4,0
270,2024-02-23 14:00:00,0.3,406.0,20.0,6.8,-0.3,0
271,2024-02-23 15:00:00,1.7,411.0,19.0,6.62,0.0,0
272,2024-02-23 16:00:00,2.6,415.0,19.4,5.31,-0.4,0
273,2024-02-23 17:00:00,2.6,420.0,20.0,5.07,-0.3,0
274,2024-02-23 18:00:00,2.23,422.0,20.2,3.83,-0.7,0
275,2024-02-23 19:00:00,2.1,421.0,20.5,3.28,-0.4,0
276,2024-02-23 20:00:00,2.27,422.0,20.7,2.95,0.1,0
277,2024-02-24 15:00:00,1.68,429.0,18.9,6.81,-0.1,0
278,2024-02-24 16:00:00,2.94,437.0,19.5,6.85,-0.0,0
279,2024-02-24 17:00:00,2.7,442.0,19.9,6.59,0.1,0
280,2024-02-24 18:00:00,2.86,455.0,20.3,6.31,-0.7,0
281,2024-02-24 19:00:00,3.2,488.0,20.7,5.28,-0.8,0
282,2024-02-24 20:00:00,0.73,538.0,21.0,4.99,-0.7,0
283,2024-02-25 15:00:00,2.67,508.0,18.6,5.06,-0.4,0
284,2024-02-25 16:00:00,3.31,503.0,19.3,4.44,-0.3,0
285,2024-02-25 17:00:00,3.16,476.0,19.7,4.33,-0.6,0
286,2024-02-25 18:00:00,2.55,468.0,20.0,3.97,-0.8,0
287,2024-02-27 15:00:00,1.32,443.0,19.2,5.94,-0.1,0
288,2024-02-27 16:00:00,2.78,452.0,19.6,6.11,-0.7,0
289,2024-02-27 17:00:00,2.6,462.0,20.1,5.76,-0.9,0
290,2024-02-27 18:00:00,2.6,470.0,20.2,5.58,-1.3,0
291,2024-02-27 19:00:00,2.6,472.0,20.5,5.67,-0.9,0
292,2024-02-28 20:00:00,1.44,524.0,20.8,9.38,0.3,0
293,2024-02-28 21:00:00,2.85,524.0,21.7,9.7,0.3,0
294,2024-02-29 18:00:00,2.3725,432.0,21.1,6.94,-0.5,0
295,2024-03-02 15:00:00,0.84,422.0,19.5,5.67,-0.5,0
296,2024-03-03 15:00:00,1.7100000000000002,426.0,20.8,7.23,-0.4,0
297,2024-03-03 17:00:00,1.8450000000000002,472.0,19.6,7.82,0.5,0
298,2024-03-03 18:00:00,3.18,464.0,20.0,7.3,-0.2,0
299,2024-03-03 19:00:00,3.0,458.0,20.2,6.97,-0.9,0
