ID,date,indoor T,TSV,outdoorT,hour,day_of_week,value
151,2024-02-08 06:00:00,20.103333791097,-0.6904761904761905,3.35,6,3,-0.1
152,2024-02-08 07:00:00,20.1900005340576,-0.6666666666666667,3.27,7,3,-0.1
153,2024-02-08 08:00:00,20.1900005340576,-0.6428571428571429,2.98,8,3,-0.1
154,2024-02-08 09:00:00,20.1900005340576,-0.6190476190476191,2.6,9,3,-0.1
155,2024-02-08 10:00:00,20.1900005340576,-0.5952380952380952,2.94,10,3,-0.1
156,2024-02-08 11:00:00,20.1900005340576,-0.5714285714285714,3.63,11,3,-0.1
157,2024-02-08 12:00:00,20.1900005340576,-0.5476190476190477,4.37,12,3,-0.1
158,2024-02-08 13:00:00,20.1900005340576,-0.5238095238095238,5.57,13,3,-0.1
159,2024-02-08 14:00:00,20.2750005722045,-0.5,6.7,14,3,-0.1
160,2024-02-08 15:00:00,20.7000007629394,-0.4761904761904763,7.99,15,3,-0.1
161,2024-02-08 16:00:00,20.7000007629394,-0.4523809523809524,9.86,16,3,-0.1
162,2024-02-08 17:00:00,20.7000007629394,-0.4285714285714286,10.9,17,3,-0.1
163,2024-02-08 18:00:00,20.7000007629394,-0.4047619047619047,10.9,18,3,-0.1
164,2024-02-08 19:00:00,20.7000007629394,-0.3809523809523809,9.73,19,3,-0.1
165,2024-02-08 20:00:00,20.7000007629394,-0.3571428571428572,9.4,20,3,-0.1
166,2024-02-08 21:00:00,20.7000007629394,-0.3333333333333333,9.45,21,3,-0.1
167,2024-02-08 22:00:00,20.5300006866455,-0.3095238095238095,9.42,22,3,-0.1
168,2024-02-08 23:00:00,19.7133334477742,-0.2857142857142858,9.37,23,3,-0.1
169,2024-02-09 00:00:00,19.6700000762939,-0.261904761904762,9.46,0,4,-0.1
170,2024-02-09 01:00:00,20.103333791097,-0.2380952380952381,9.7,1,4,-0.1
171,2024-02-09 02:00:00,20.4450006484985,-0.2142857142857143,10.0,2,4,-0.1
172,2024-02-09 03:00:00,20.7000007629394,-0.1904761904761904,10.3,3,4,-0.1
173,2024-02-09 04:00:00,20.7000007629394,-0.1666666666666667,10.4,4,4,-0.1
174,2024-02-09 05:00:00,20.2750005722045,-0.1428571428571429,10.2,5,4,-0.1
175,2024-02-09 06:00:00,20.6150007247924,-0.119047619047619,9.6,6,4,-0.1
176,2024-02-09 07:00:00,20.7000007629394,-0.0952380952380953,9.44,7,4,-0.1
177,2024-02-09 08:00:00,20.7000007629394,-0.0714285714285715,9.08,8,4,-0.1
178,2024-02-09 09:00:00,20.7000007629394,-0.0476190476190476,9.38,9,4,-0.1
179,2024-02-09 10:00:00,20.7000007629394,-0.0238095238095238,9.35,10,4,-0.1
180,2024-02-09 11:00:00,20.7000007629394,0.0,9.78,11,4,-0.1
181,2024-02-09 12:00:00,20.7000007629394,0.5,9.58,12,4,-0.1
182,2024-02-09 13:00:00,20.7000007629394,1.0,9.7,13,4,-0.1
183,2024-02-09 14:00:00,20.9600000381469,1.0,10.2,14,4,-0.1
184,2024-02-09 15:00:00,21.2199993133544,1.0,10.7,15,4,-0.1
185,2024-02-09 16:00:00,21.2199993133544,1.0,10.8,16,4,-0.1
186,2024-02-09 17:00:00,21.2199993133544,2.0,10.5,17,4,-0.1
187,2024-02-09 18:00:00,21.2199993133544,1.961111111111111,10.4,18,4,-0.1
188,2024-02-09 19:00:00,21.2199993133544,1.9222222222222225,10.4,19,4,-0.1
189,2024-02-09 20:00:00,21.2199993133544,1.8833333333333333,10.2,20,4,-0.1
190,2024-02-09 21:00:00,21.2199993133544,1.8444444444444448,10.1,21,4,-0.1
191,2024-02-09 22:00:00,20.7466667493184,1.805555555555556,10.2,22,4,-0.1
192,2024-02-09 23:00:00,19.8000001907348,1.7666666666666666,10.4,23,4,-0.1
193,2024-02-10 00:00:00,19.6700000762939,1.727777777777778,10.2,0,5,-0.1
194,2024-02-10 01:00:00,20.2316672007242,1.6888888888888889,10.1,1,5,-0.1
195,2024-02-10 02:00:00,20.7000007629394,1.65,9.87,2,5,-0.1
196,2024-02-10 03:00:00,20.7000007629394,1.6111111111111112,9.64,3,5,-0.1
197,2024-02-10 04:00:00,20.7000007629394,1.5722222222222222,9.59,4,5,-0.1
198,2024-02-10 05:00:00,20.6150007247924,1.5333333333333332,9.12,5,5,-0.1
199,2024-02-10 06:00:00,20.1900005340576,1.4944444444444445,9.4,6,5,-0.1
200,2024-02-10 07:00:00,20.1900005340576,1.4555555555555555,8.63,7,5,-0.1
201,2024-02-10 08:00:00,20.1900005340576,1.4166666666666663,7.8,8,5,-0.1
202,2024-02-10 09:00:00,20.6150007247924,1.3777777777777778,7.7,9,5,-0.1
203,2024-02-10 10:00:00,20.7000007629394,1.338888888888889,8.4,10,5,-0.1
204,2024-02-10 11:00:00,20.7000007629394,1.3,9.41,11,5,-0.1
205,2024-02-10 12:00:00,20.7000007629394,1.261111111111111,9.61,12,5,-0.1
206,2024-02-10 13:00:00,20.7000007629394,1.2222222222222223,10.5,13,5,-0.1
207,2024-02-10 14:00:00,20.7000007629394,1.1833333333333331,11.2,14,5,-0.1
208,2024-02-10 15:00:00,20.7000007629394,1.1444444444444444,10.8,15,5,-0.1
209,2024-02-10 16:00:00,20.7000007629394,1.1055555555555556,10.9,16,5,-0.1
210,2024-02-10 17:00:00,20.7000007629394,1.0666666666666669,10.2,17,5,-0.1
211,2024-02-10 18:00:00,20.5300006866455,1.0277777777777777,9.56,18,5,-0.1
212,2024-02-10 19:00:00,19.7133334477742,0.9888888888888888,9.1,19,5,-0.1
213,2024-02-10 20:00:00,19.6700000762939,0.95,8.5,20,5,-0.1
214,2024-02-10 21:00:00,19.6700000762939,0.911111111111111,8.18,21,5,-0.1
215,2024-02-10 22:00:00,19.6700000762939,0.8722222222222222,7.89,22,5,-0.1
216,2024-02-10 23:00:00,19.6700000762939,0.8333333333333333,7.59,23,5,-0.1
217,2024-02-11 00:00:00,19.6700000762939,0.7944444444444445,7.37,0,6,-0.1
218,2024-02-11 01:00:00,20.1891671816508,0.7555555555555555,7.15,1,6,-0.1
219,2024-02-11 02:00:00,20.7000007629394,0.7166666666666666,6.78,2,6,-0.1
220,2024-02-11 03:00:00,20.7000007629394,0.6777777777777778,6.72,3,6,-0.1
221,2024-02-11 04:00:00,20.7000007629394,0.6388888888888888,6.48,4,6,-0.1
222,2024-02-11 05:00:00,20.6150007247924,0.6000000000000001,6.62,5,6,-0.1
223,2024-02-11 06:00:00,20.1900005340576,0.5611111111111111,6.62,6,6,-0.1
224,2024-02-11 07:00:00,20.1900005340576,0.5222222222222221,6.27,7,6,-0.1
225,2024-02-11 08:00:00,20.1900005340576,0.4833333333333334,6.19,8,6,-0.1
226,2024-02-11 09:00:00,20.1900005340576,0.4444444444444444,6.53,9,6,-0.1
227,2024-02-11 10:00:00,20.317500591278,0.4055555555555554,7.16,10,6,-0.1
228,2024-02-11 11:00:00,20.7000007629394,0.3666666666666667,8.36,11,6,-0.1
229,2024-02-11 12:00:00,20.7000007629394,0.3277777777777777,10.1,12,6,-0.1
230,2024-02-11 13:00:00,20.7000007629394,0.2888888888888887,10.1,13,6,-0.1
231,2024-02-11 14:00:00,20.7000007629394,0.25,10.1,14,6,-0.1
232,2024-02-11 15:00:00,20.7000007629394,0.211111111111111,9.82,15,6,-0.1
233,2024-02-11 16:00:00,20.7000007629394,0.1722222222222222,9.47,16,6,-0.1
234,2024-02-11 17:00:00,20.7000007629394,0.1333333333333333,9.04,17,6,-0.1
235,2024-02-11 18:00:00,20.487500667572,0.0944444444444443,8.67,18,6,-0.1
236,2024-02-11 19:00:00,19.6700000762939,0.0555555555555555,7.95,19,6,-0.1
237,2024-02-11 20:00:00,19.329999923706,0.0166666666666666,7.38,20,6,-0.1
238,2024-02-11 21:00:00,19.1599998474121,-0.0222222222222221,6.97,21,6,-0.1
239,2024-02-11 22:00:00,19.1599998474121,-0.0611111111111113,6.32,22,6,-0.1
240,2024-02-11 23:00:00,19.1599998474121,-0.1,5.84,23,6,-0.1
241,2024-02-12 00:00:00,19.329999923706,-0.1388888888888888,5.12,0,0,-0.1
242,2024-02-12 01:00:00,20.0600004196167,-0.177777777777778,4.68,1,0,-0.1
243,2024-02-12 02:00:00,20.5300006866455,-0.2166666666666667,4.17,2,0,-0.1
244,2024-02-12 03:00:00,20.7000007629394,-0.2555555555555555,4.0,3,0,-0.1
245,2024-02-12 04:00:00,20.5725007057189,-0.2944444444444443,3.54,4,0,-0.1
246,2024-02-12 05:00:00,20.1900005340576,-0.3333333333333335,3.3,5,0,-0.1
247,2024-02-12 06:00:00,20.1900005340576,-0.3722222222222222,3.07,6,0,-0.1
248,2024-02-12 07:00:00,20.1900005340576,-0.411111111111111,3.13,7,0,-0.1
249,2024-02-12 08:00:00,20.1900005340576,-0.4500000000000002,3.67,8,0,-0.1
250,2024-02-12 09:00:00,20.1900005340576,-0.4888888888888889,3.9,9,0,-0.1
251,2024-02-12 10:00:00,20.1900005340576,-0.5277777777777777,5.21,10,0,-0.1
252,2024-02-12 11:00:00,20.1900005340576,-0.5666666666666669,6.31,11,0,-0.1
253,2024-02-12 12:00:00,20.1900005340576,-0.6055555555555556,7.52,12,0,-0.1
254,2024-02-12 13:00:00,20.1900005340576,-0.6444444444444444,7.74,13,0,-0.1
255,2024-02-12 14:00:00,20.1900005340576,-0.6833333333333336,7.75,14,0,-0.1
256,2024-02-12 15:00:00,20.487500667572,-0.7222222222222223,7.84,15,0,-0.1
257,2024-02-12 16:00:00,20.7000007629394,-0.7611111111111111,6.92,16,0,-0.1
258,2024-02-12 17:00:00,20.7000007629394,-0.7999999999999998,6.56,17,0,-0.1
259,2024-02-12 18:00:00,20.7000007629394,-0.838888888888889,6.15,18,0,-0.1
260,2024-02-12 19:00:00,20.7000007629394,-0.8777777777777778,5.63,19,0,-0.1
261,2024-02-12 20:00:00,20.7000007629394,-0.9166666666666664,5.56,20,0,-0.1
262,2024-02-12 21:00:00,20.7000007629394,-0.9555555555555556,4.88,21,0,-0.1
263,2024-02-12 22:00:00,20.2291671435038,-0.9944444444444444,4.18,22,0,-0.1
264,2024-02-12 23:00:00,19.1166664759318,-1.0333333333333332,4.11,23,0,-0.1
265,2024-02-13 00:00:00,18.7699995040893,-1.0722222222222224,4.14,0,1,-0.1
266,2024-02-13 01:00:00,19.5425000190734,-1.1111111111111112,3.77,1,1,-0.1
267,2024-02-13 02:00:00,19.8866669336954,-1.15,3.93,2,1,-0.1
268,2024-02-13 03:00:00,20.1900005340576,-1.188888888888889,4.01,3,1,-0.1
269,2024-02-13 04:00:00,20.1466671625773,-1.227777777777778,4.12,4,1,-0.1
270,2024-02-13 05:00:00,19.6700000762939,-1.2666666666666666,4.16,5,1,-0.1
271,2024-02-13 06:00:00,19.6700000762939,-1.3055555555555558,4.19,6,1,-0.1
272,2024-02-13 07:00:00,19.8000001907348,-1.3444444444444446,4.66,7,1,-0.1
273,2024-02-13 08:00:00,20.1900005340576,-1.3833333333333333,4.74,8,1,-0.1
274,2024-02-13 09:00:00,20.1900005340576,-1.4222222222222225,5.6,9,1,-0.1
275,2024-02-13 10:00:00,20.1900005340576,-1.4611111111111112,6.16,10,1,-0.1
276,2024-02-13 11:00:00,20.1900005340576,-1.5,6.46,11,1,-0.1
277,2024-02-13 12:00:00,20.1900005340576,0.0,7.04,12,1,-0.1
278,2024-02-13 13:00:00,20.1900005340576,0.0,7.16,13,1,-0.1
279,2024-02-13 14:00:00,20.1900005340576,0.0,7.32,14,1,-0.1
280,2024-02-13 15:00:00,20.1900005340576,-0.5,7.55,15,1,-0.1
281,2024-02-13 16:00:00,20.2750005722045,-0.25,7.23,16,1,-0.1
282,2024-02-13 17:00:00,20.7000007629394,0.0,7.6,17,1,-0.1
283,2024-02-13 18:00:00,20.7000007629394,0.0,8.31,18,1,-0.1
284,2024-02-13 19:00:00,20.7000007629394,0.0149253731343283,9.14,19,1,-0.1
285,2024-02-13 20:00:00,20.7000007629394,0.0298507462686567,9.83,20,1,-0.1
286,2024-02-13 21:00:00,20.7000007629394,0.044776119402985,10.2,21,1,-0.1
287,2024-02-13 22:00:00,20.7033335367838,0.0597014925373134,10.4,22,1,-0.1
288,2024-02-13 23:00:00,19.8000001907348,0.0746268656716417,10.8,23,1,-0.1
289,2024-02-14 00:00:00,19.6700000762939,0.0895522388059701,10.4,0,2,-0.1
290,2024-02-14 01:00:00,20.103333791097,0.1044776119402985,10.4,1,2,-0.1
291,2024-02-14 02:00:00,20.1900005340576,0.1194029850746268,10.6,2,2,-0.1
292,2024-02-14 03:00:00,20.1900005340576,0.1343283582089552,10.9,3,2,-0.1
